Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,WD,WD2002FYPS-01U1B0 2TB,49.5,2TB,WD2002FYPS-01U1B0,2TB,,https://hdd.userbenchmark.com/SpeedTest/3788/WDC-WD2002FYPS-01U1B0
HDD,WD,"Black 2.5"" 500GB (2013)",49.5,500GB,"Black 2.5""",500GB,2013.0,https://hdd.userbenchmark.com/SpeedTest/3355/WDC-WD5000BPKX-75HPJT0
HDD,Seagate,Barracuda 7200.12 250GB,49.2,250GB,Barracuda 7200.12,250GB,,https://hdd.userbenchmark.com/SpeedTest/169/ST3250318AS
HDD,WD,"Black2 2.5"" 1.120 TB (2013)",49.0,120 TB,"Black2 2.5"" 1.120 TB",,2013.0,https://hdd.userbenchmark.com/SpeedTest/5448/WDC-WD1001X06X-00SJVT0
HDD,Hitachi,HTS7275 750GB,49.0,750GB,HTS7275,750GB,,https://hdd.userbenchmark.com/SpeedTest/6142/Hitachi-HTS7275
HDD,Hitachi,HCS5C1010CLA382 1TB,49.0,1TB,HCS5C1010CLA382,1TB,,https://hdd.userbenchmark.com/SpeedTest/3428/Hitachi-HCS5C1010CLA382
HDD,Hitachi,HDS5C1010CLA382 1TB,49.0,1TB,HDS5C1010CLA382,1TB,,https://hdd.userbenchmark.com/SpeedTest/1569/Hitachi-HDS5C1010CLA382
HDD,Hitachi,HDS721050CLA 500GB,48.9,500GB,HDS721050CLA,500GB,,https://hdd.userbenchmark.com/SpeedTest/1561/Hitachi-HDS721050CLA
HDD,Maxtor,STM3320613AS 320GB,48.9,320GB,STM3320613AS,320GB,,https://hdd.userbenchmark.com/SpeedTest/4882/MAXTOR-STM3320613AS
HDD,HGST,"Travelstar 7K750 2.5"" 750GB",48.8,750GB,"Travelstar 7K750 2.5""",750GB,,https://hdd.userbenchmark.com/SpeedTest/104/Hitachi-HTS727575A9E364
HDD,Hitachi,HDT72101 1TB,48.8,1TB,HDT72101,1TB,,https://hdd.userbenchmark.com/SpeedTest/4490/Hitachi-HDT72101
HDD,Hitachi,HDT721075SLA360 750GB,48.7,750GB,HDT721075SLA360,750GB,,https://hdd.userbenchmark.com/SpeedTest/3764/Hitachi-HDT721075SLA360
HDD,Seagate,ST3750528AS 750GB,48.7,750GB,ST3750528AS,750GB,,https://hdd.userbenchmark.com/SpeedTest/1714/ST3750528AS
HDD,Hitachi,HDS5C3015ALA632 1.5TB,48.6,5TB,HDS5C3015ALA632 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/5797/Hitachi-HDS5C3015ALA632
HDD,WD,"Black 2.5"" 500GB (2011)",48.6,500GB,"Black 2.5""",500GB,2011.0,https://hdd.userbenchmark.com/SpeedTest/2036/WDC-WD5000BPKT-60PK4T0
HDD,Seagate,"Laptop SSHD 2.5"" 1TB",48.5,1TB,"Laptop SSHD 2.5""",1TB,,https://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--1TB/Rating/1804
HDD,WD,"Red 2.5"" 1TB (2013)",48.4,1TB,"Red 2.5""",1TB,2013.0,https://hdd.userbenchmark.com/SpeedTest/2756/WDC-WD10JFCX-68N6GN0
HDD,Hitachi,HTS72757 750GB,48.4,750GB,HTS72757,750GB,,https://hdd.userbenchmark.com/SpeedTest/4050/Hitachi-HTS72757
HDD,WD,WD3202ABYS-02B7A0 320GB,48.4,320GB,WD3202ABYS-02B7A0,320GB,,https://hdd.userbenchmark.com/SpeedTest/8044/WDC-WD3202ABYS-02B7A0
HDD,Seagate,"Momentus XT 7200 RPM 2.5"" 750GB",48.4,750GB,"Momentus XT 7200 RPM 2.5""",750GB,,https://hdd.userbenchmark.com/SpeedTest/840/ST750LX003-1AC154
HDD,Seagate,ST3320613AS 320GB,48.3,320GB,ST3320613AS,320GB,,https://hdd.userbenchmark.com/SpeedTest/1722/ST3320613AS
HDD,Seagate,ST31000340NS 1TB,48.3,1TB,ST31000340NS,1TB,,https://hdd.userbenchmark.com/SpeedTest/1232/ST31000340NS
HDD,Samsung,HD642JJ 640GB,48.0,640GB,HD642JJ,640GB,,https://hdd.userbenchmark.com/SpeedTest/1574/SAMSUNG-HD642JJ
HDD,WD,Black 500GB (2008),47.9,500GB,Black,500GB,2008.0,https://hdd.userbenchmark.com/SpeedTest/1199/WDC-WD5001AALS-00L3B2
HDD,Hitachi,HDT721050SLA360 500GB,47.8,500GB,HDT721050SLA360,500GB,,https://hdd.userbenchmark.com/SpeedTest/4865/Hitachi-HDT721050SLA360
HDD,Toshiba,MK6461GSYN 640GB,47.8,640GB,MK6461GSYN,640GB,,https://hdd.userbenchmark.com/SpeedTest/2644/TOSHIBA-MK6461GSYN
HDD,Seagate,STM3250318AS 250GB,47.7,250GB,STM3250318AS,250GB,,https://hdd.userbenchmark.com/SpeedTest/5134/STM3250318AS
HDD,Seagate,ST3500320NS 500GB,47.6,500GB,ST3500320NS,500GB,,https://hdd.userbenchmark.com/SpeedTest/507/ST3500320NS
HDD,Hitachi,HDT721010SLA360 1TB,47.6,1TB,HDT721010SLA360,1TB,,https://hdd.userbenchmark.com/SpeedTest/1320/Hitachi-HDT721010SLA360
HDD,WD,Blue 500GB (2008),47.6,500GB,Blue,500GB,2008.0,https://hdd.userbenchmark.com/SpeedTest/1305/WDC-WD5000AAKS-00YGA0
HDD,Seagate,"Momentus 2.5"" 750GB (2010)",47.6,750GB,"Momentus 2.5""",750GB,2010.0,https://hdd.userbenchmark.com/SpeedTest/922/ST9750420AS
HDD,,VB0250EAVER 250GB,47.6,250GB,VB0250EAVER,250GB,,https://hdd.userbenchmark.com/SpeedTest/1098/VB0250EAVER
HDD,WD,Green 1.5TB (2011),47.5,5TB,Green 1.,5TB,2011.0,https://hdd.userbenchmark.com/SpeedTest/4721/WDC-WD15EARX-22PASB0
HDD,Seagate,ST3320813AS 320GB,47.5,320GB,ST3320813AS,320GB,,https://hdd.userbenchmark.com/SpeedTest/5403/ST3320813AS
HDD,Seagate,ST3750330NS 750GB,47.4,750GB,ST3750330NS,750GB,,https://hdd.userbenchmark.com/SpeedTest/8704/ST3750330NS
HDD,Samsung,Spinpoint F1 1TB,47.4,1TB,Spinpoint F1,1TB,,https://hdd.userbenchmark.com/SpeedTest/413/SAMSUNG-HD103UJ
HDD,Maxtor,S TM3320613AS 320GB,47.2,320GB,S TM3320613AS,320GB,,https://hdd.userbenchmark.com/SpeedTest/10528/MAXTOR-S-TM3320613AS
HDD,Seagate,ST32000542AS 2TB,47.2,2TB,ST32000542AS,2TB,,https://hdd.userbenchmark.com/SpeedTest/696/ST32000542AS
HDD,Seagate,ST31000322CS 1TB,47.1,1TB,ST31000322CS,1TB,,https://hdd.userbenchmark.com/SpeedTest/6933/ST31000322CS
HDD,Toshiba,"Notebook SSHD 2.5"" 1TB",47.1,1TB,"Notebook SSHD 2.5""",1TB,,https://hdd.userbenchmark.com/SpeedTest/24488/TOSHIBA-MQ02ABD100H
HDD,Toshiba,MK3261GSY 320GB,47.1,320GB,MK3261GSY,320GB,,https://hdd.userbenchmark.com/SpeedTest/694/TOSHIBA-MK3261GSY
HDD,Samsung,HD321HJ 320GB,47.0,320GB,HD321HJ,320GB,,https://hdd.userbenchmark.com/SpeedTest/6799/SAMSUNG-HD321HJ
HDD,Seagate,ST3500820AS 500GB,46.9,500GB,ST3500820AS,500GB,,https://hdd.userbenchmark.com/SpeedTest/3950/ST3500820AS
HDD,WD,"Blue 2.5"" 1TB (2011)",46.9,1TB,"Blue 2.5""",1TB,2011.0,https://hdd.userbenchmark.com/SpeedTest/1109/WDC-WD10JPVT-75
HDD,WD,WD10JUCT-63J6SY0 1TB,46.7,1TB,WD10JUCT-63J6SY0,1TB,,https://hdd.userbenchmark.com/SpeedTest/9459/WDC-WD10JUCT-63J6SY0
HDD,WD,WD6400AARS-00Y5B1 640GB,46.7,640GB,WD6400AARS-00Y5B1,640GB,,https://hdd.userbenchmark.com/SpeedTest/1604/WDC-WD6400AARS-00Y5B1
HDD,Toshiba,MQ01ABD100 1TB,46.7,1TB,MQ01ABD100,1TB,,https://hdd.userbenchmark.com/SpeedTest/784/TOSHIBA-MQ01ABD100
HDD,Samsung,HD153WI 1.5TB,46.7,5TB,HD153WI 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/1489/SAMSUNG-HD153WI
HDD,Samsung,HD103SI 1TB,46.6,1TB,HD103SI,1TB,,https://hdd.userbenchmark.com/SpeedTest/1110/SAMSUNG-HD103SI
HDD,Toshiba,MQ02ABF100 1TB,46.6,1TB,MQ02ABF100,1TB,,https://hdd.userbenchmark.com/SpeedTest/11528/TOSHIBA-MQ02ABF100
HDD,Seagate,ST3750630AS 750GB,46.5,750GB,ST3750630AS,750GB,,https://hdd.userbenchmark.com/SpeedTest/3071/ST3750630AS
HDD,Seagate,ST31000340AS 1TB,46.4,1TB,ST31000340AS,1TB,,https://hdd.userbenchmark.com/SpeedTest/206/ST31000340AS
HDD,Apple,HDD HTS545050A7E362 500GB,46.4,500GB,HDD HTS545050A7E362,500GB,,https://hdd.userbenchmark.com/SpeedTest/7208/APPLE-HDD-HTS545050A7E362
HDD,Seagate,ST3750330SV 750GB,46.4,750GB,ST3750330SV,750GB,,https://hdd.userbenchmark.com/SpeedTest/10527/ST3750330SV
HDD,Seagate,ST3250310NS 250GB,46.4,250GB,ST3250310NS,250GB,,https://hdd.userbenchmark.com/SpeedTest/1947/ST3250310NS
HDD,Maxtor,STM31000340AS 1TB,46.3,1TB,STM31000340AS,1TB,,https://hdd.userbenchmark.com/SpeedTest/99/MAXTOR-STM31000340AS
HDD,WD,Blue 320GB (2010),46.2,320GB,Blue,320GB,2010.0,https://hdd.userbenchmark.com/SpeedTest/2995/WDC-WD3200AAKX-001CA0
HDD,Seagate,ST3500312CS 500GB,46.2,500GB,ST3500312CS,500GB,,https://hdd.userbenchmark.com/SpeedTest/1659/ST3500312CS
HDD,Seagate,"FireCuda 2.5"" 2TB",45.9,2TB,"FireCuda 2.5""",2TB,,https://hdd.userbenchmark.com/SpeedTest/192181/ST2000LX001-1RG174
HDD,WD,WD15EURS-63S48Y0 1.5TB,45.9,5TB,WD15EURS-63S48Y0 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/7870/WDC-WD15EURS-63S48Y0
HDD,WD,Green 2TB (2009),45.9,2TB,Green,2TB,2009.0,https://hdd.userbenchmark.com/SpeedTest/1732/WDC-WD20EADS-11R6B1
HDD,Toshiba,MQ01ABD050 500GB,45.9,500GB,MQ01ABD050,500GB,,https://hdd.userbenchmark.com/SpeedTest/924/TOSHIBA-MQ01ABD050
HDD,Samsung,HM250HJ 250GB,45.9,250GB,HM250HJ,250GB,,https://hdd.userbenchmark.com/SpeedTest/11688/SAMSUNG-HM250HJ
HDD,Seagate,"FireCuda 2.5"" 1TB",45.8,1TB,"FireCuda 2.5""",1TB,,https://hdd.userbenchmark.com/SpeedTest/193028/ST1000LX015-1U7172
HDD,Samsung,MZMPC064HBDR-000 1TB,45.8,1TB,MZMPC064HBDR-000,1TB,,https://hdd.userbenchmark.com/SpeedTest/1769/SAMSUNG-MZMPC064HBDR-000
HDD,WD,WD10S12X-55JTET0 1TB,45.8,1TB,WD10S12X-55JTET0,1TB,,https://hdd.userbenchmark.com/SpeedTest/12098/WDC-WD10S12X-55JTET0
HDD,Seagate,"Laptop Thin SSHD 2.5"" 500GB",45.7,500GB,"Laptop Thin SSHD 2.5""",500GB,,https://hdd.userbenchmark.com/Seagate-Laptop-Thin-SSHD-25--500GB/Rating/1803
HDD,Seagate,Barracuda 7200.11 500GB,45.7,500GB,Barracuda 7200.11,500GB,,https://hdd.userbenchmark.com/SpeedTest/137/ST3500320AS
HDD,Seagate,ST3500620AS 500GB,45.7,500GB,ST3500620AS,500GB,,https://hdd.userbenchmark.com/SpeedTest/3388/ST3500620AS
HDD,Samsung,HD502HI 500GB,45.6,500GB,HD502HI,500GB,,https://hdd.userbenchmark.com/SpeedTest/1270/SAMSUNG-HD502HI
HDD,Hitachi,HTS72755 500GB,45.5,500GB,HTS72755,500GB,,https://hdd.userbenchmark.com/SpeedTest/2252/Hitachi-HTS72755
HDD,Samsung,HD322HJ 320GB,45.5,320GB,HD322HJ,320GB,,https://hdd.userbenchmark.com/SpeedTest/1377/SAMSUNG-HD322HJ
HDD,Seagate,ST3500412AS 500GB,45.4,500GB,ST3500412AS,500GB,,https://hdd.userbenchmark.com/SpeedTest/5332/ST3500412AS
HDD,Seagate,FreeAgent XTreme 1TB,45.4,1TB,FreeAgent XTreme,1TB,,https://hdd.userbenchmark.com/SpeedTest/2882/Seagate-FreeAgent-XTreme
HDD,Hitachi,HTS725050A9A362 500GB,45.3,500GB,HTS725050A9A362,500GB,,https://hdd.userbenchmark.com/SpeedTest/5508/Hitachi-HTS725050A9A362
HDD,Samsung,HD105SI 1TB,45.3,1TB,HD105SI,1TB,,https://hdd.userbenchmark.com/SpeedTest/2699/SAMSUNG-HD105SI
HDD,Hitachi,HDT721064SLA360 640GB,45.3,640GB,HDT721064SLA360,640GB,,https://hdd.userbenchmark.com/SpeedTest/6072/Hitachi-HDT721064SLA360
HDD,Samsung,HM320HJ 320GB,45.3,320GB,HM320HJ,320GB,,https://hdd.userbenchmark.com/SpeedTest/2116/SAMSUNG-HM320HJ
HDD,Seagate,ST3750330AS 750GB,45.2,750GB,ST3750330AS,750GB,,https://hdd.userbenchmark.com/SpeedTest/1776/ST3750330AS
HDD,Toshiba,MK3261GSYN 320GB,45.1,320GB,MK3261GSYN,320GB,,https://hdd.userbenchmark.com/SpeedTest/30/TOSHIBA-MK3261GSYN
HDD,Seagate,STM3320418AS 320GB,45.1,320GB,STM3320418AS,320GB,,https://hdd.userbenchmark.com/SpeedTest/5696/STM3320418AS
HDD,Seagate,"Momentus XT SSHD 2.5"" 500GB",45.1,500GB,"Momentus XT SSHD 2.5""",500GB,,https://hdd.userbenchmark.com/Seagate-Momentus-XT-SSHD-25--500GB/Rating/1800
HDD,Seagate,ST310005 1TB,45.1,1TB,ST310005,1TB,,https://hdd.userbenchmark.com/SpeedTest/1342/ST310005
HDD,Seagate,ST3160813AS 160GB,45.0,160GB,ST3160813AS,160GB,,https://hdd.userbenchmark.com/SpeedTest/2850/ST3160813AS
HDD,Maxtor,STM3500320AS 500GB,45.0,500GB,STM3500320AS,500GB,,https://hdd.userbenchmark.com/SpeedTest/2192/MAXTOR-STM3500320AS
HDD,WD,"Blue 2.5"" 1TB (2004)",45.0,1TB,"Blue 2.5""",1TB,2004.0,https://hdd.userbenchmark.com/SpeedTest/3140/WDC-WD10JPVX-22JC3T0
HDD,Hitachi,HTS541010A9 1TB,44.9,1TB,HTS541010A9,1TB,,https://hdd.userbenchmark.com/SpeedTest/6753/HGST-HTS541010A9
HDD,Seagate,ST1000LM014-SSHD-8GB 1TB,44.9,8GB,ST1000LM014-SSHD,8GB,,https://hdd.userbenchmark.com/SpeedTest/6737/ST1000LM014-SSHD-8GB
HDD,Samsung,HD161GJ 160GB,44.9,160GB,HD161GJ,160GB,,https://hdd.userbenchmark.com/SpeedTest/2493/SAMSUNG-HD161GJ
HDD,Samsung,"Spinpoint MP4 2.5"" 640GB",44.8,640GB,"Spinpoint MP4 2.5""",640GB,,https://hdd.userbenchmark.com/SpeedTest/2214/SAMSUNG-HM640JJ
HDD,WD,"Blue 2.5"" 750GB",44.8,750GB,"Blue 2.5""",750GB,,https://hdd.userbenchmark.com/SpeedTest/3028/WDC-WD7500BPVX-75JC3T0
HDD,Hitachi,HDT721032SLA360 320GB,44.8,320GB,HDT721032SLA360,320GB,,https://hdd.userbenchmark.com/SpeedTest/3078/Hitachi-HDT721032SLA360
HDD,WD,Blue 320GB (2008),44.7,320GB,Blue,320GB,2008.0,https://hdd.userbenchmark.com/SpeedTest/1186/WDC-WD3200AAKS-00B3A0
HDD,WD,"Blue 2.5"" 1TB (2013)",44.7,1TB,"Blue 2.5""",1TB,2013.0,https://hdd.userbenchmark.com/SpeedTest/3227/WDC-WD10SPCX-22HWST0
HDD,Maxtor,STM3160813AS 160GB,44.7,160GB,STM3160813AS,160GB,,https://hdd.userbenchmark.com/SpeedTest/7161/MAXTOR-STM3160813AS
HDD,WD,WD10EURS-630AB1 1TB,44.7,1TB,WD10EURS-630AB1,1TB,,https://hdd.userbenchmark.com/SpeedTest/5849/WDC-WD10EURS-630AB1
HDD,Seagate,ST31500541AS 1.5TB,44.7,5TB,ST31500541AS 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/667/ST31500541AS
HDD,WD,WD6400AADS-00M2B0 640GB,44.7,640GB,WD6400AADS-00M2B0,640GB,,https://hdd.userbenchmark.com/SpeedTest/10673/WDC-WD6400AADS-00M2B0
HDD,Seagate,Barracuda 7200.12 320GB,44.6,320GB,Barracuda 7200.12,320GB,,https://hdd.userbenchmark.com/SpeedTest/3234/ST3320413AS
HDD,Hitachi,HDS5C1050CLA382 500GB,44.6,500GB,HDS5C1050CLA382,500GB,,https://hdd.userbenchmark.com/SpeedTest/4543/Hitachi-HDS5C1050CLA382
HDD,WD,WD10EADX-00TDHB0 1TB,44.6,1TB,WD10EADX-00TDHB0,1TB,,https://hdd.userbenchmark.com/SpeedTest/1049/WDC-WD10EADX-00TDHB0
HDD,WD,Green 1.5TB (2010),44.6,5TB,Green 1.,5TB,2010.0,https://hdd.userbenchmark.com/SpeedTest/1144/WDC-WD15EARS-00MVWB0
HDD,Samsung,Spinpoint F2 1TB,44.6,1TB,Spinpoint F2,1TB,,https://hdd.userbenchmark.com/SpeedTest/1306/SAMSUNG-HD154UI
HDD,Hitachi,HTS541515A9E630 1.5TB,44.6,5TB,HTS541515A9E630 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/9932/HGST-HTS541515A9E630
HDD,WD,Green 1TB (2010),44.4,1TB,Green,1TB,2010.0,https://hdd.userbenchmark.com/SpeedTest/1117/WDC-WD10EARS-00Y5B1
HDD,Toshiba,MQ01ABD0 500GB,44.2,500GB,MQ01ABD0,500GB,,https://hdd.userbenchmark.com/SpeedTest/11593/TOSHIBA-MQ01ABD0
HDD,WD,Blue 320GB (2007),44.2,320GB,Blue,320GB,2007.0,https://hdd.userbenchmark.com/SpeedTest/804/WDC-WD3200AAJS-00L7A0
HDD,Seagate,SSHD 500GB,44.2,500GB,SSHD,500GB,,https://hdd.userbenchmark.com/SpeedTest/5338/ST500LX005-1CW162
HDD,Samsung,Spinpoint F3 2TB,44.2,2TB,Spinpoint F3,2TB,,https://hdd.userbenchmark.com/SpeedTest/640/SAMSUNG-HD203WI
HDD,Toshiba,MK7559GSXF 750GB,44.2,750GB,MK7559GSXF,750GB,,https://hdd.userbenchmark.com/SpeedTest/2028/TOSHIBA-MK7559GSXF
HDD,Seagate,ST3250312CS 250GB,44.2,250GB,ST3250312CS,250GB,,https://hdd.userbenchmark.com/SpeedTest/3255/ST3250312CS
HDD,Toshiba,MK6461GSY 640GB,44.2,640GB,MK6461GSY,640GB,,https://hdd.userbenchmark.com/SpeedTest/3150/TOSHIBA-MK6461GSY
HDD,WD,WD8000AARS-00Y5B1 800GB,44.2,800GB,WD8000AARS-00Y5B1,800GB,,https://hdd.userbenchmark.com/SpeedTest/3653/WDC-WD8000AARS-00Y5B1
HDD,WD,"Blue 2.5"" 500GB (2012)",44.1,500GB,"Blue 2.5""",500GB,2012.0,https://hdd.userbenchmark.com/SpeedTest/241/WDC-WD5000LPVT-22G33T0
HDD,Seagate,ST3320418AS 320GB,44.1,320GB,ST3320418AS,320GB,,https://hdd.userbenchmark.com/SpeedTest/168/ST3320418AS
HDD,Seagate,ST500LM000-SSHD-8GB 500GB,44.0,8GB,ST500LM000-SSHD,8GB,,https://hdd.userbenchmark.com/SpeedTest/9154/ST500LM000-SSHD-8GB
HDD,WD,"Blue 2.5"" 500GB (2013)",44.0,500GB,"Blue 2.5""",500GB,2013.0,https://hdd.userbenchmark.com/SpeedTest/6849/WDC-WD5000LPCX-24C6HT0
HDD,WD,Blue 250GB (2008),44.0,250GB,Blue,250GB,2008.0,https://hdd.userbenchmark.com/SpeedTest/2143/WDC-WD2500AAKS-00L6A0
HDD,Seagate,"Momentus XT 7200 RPM 2.5"" 500GB",43.8,500GB,"Momentus XT 7200 RPM 2.5""",500GB,,https://hdd.userbenchmark.com/SpeedTest/7156/ST500LX003-1AC15G
HDD,Seagate,"Momentus Thin 7200 2.5"" 320GB",43.7,320GB,"Momentus Thin 7200 2.5""",320GB,,https://hdd.userbenchmark.com/SpeedTest/1923/ST320LT007-9ZV142
HDD,Samsung,HD503HI 500GB,43.6,500GB,HD503HI,500GB,,https://hdd.userbenchmark.com/SpeedTest/4359/SAMSUNG-HD503HI
HDD,Samsung,Spinpoint F1 750GB,43.6,750GB,Spinpoint F1,750GB,,https://hdd.userbenchmark.com/SpeedTest/1245/SAMSUNG-HD753LJ
HDD,WD,"Black 2.5"" 500GB (2010)",43.5,500GB,"Black 2.5""",500GB,2010.0,https://hdd.userbenchmark.com/SpeedTest/2241/WDC-WD5000BEKT-22KA9T0
HDD,Samsung,"Spinpoint MP4 2.5"" 500GB",43.4,500GB,"Spinpoint MP4 2.5""",500GB,,https://hdd.userbenchmark.com/SpeedTest/1178/SAMSUNG-HM500JJ
HDD,Toshiba,MQ01ABF050 500GB,43.2,500GB,MQ01ABF050,500GB,,https://hdd.userbenchmark.com/SpeedTest/2789/TOSHIBA-MQ01ABF050
HDD,WD,WD3200AVJS-63WDA0 320GB,43.1,320GB,WD3200AVJS-63WDA0,320GB,,https://hdd.userbenchmark.com/SpeedTest/11043/WDC-WD3200AVJS-63WDA0
HDD,Seagate,ST500LM012 HN-M500MBB 500GB,43.0,500GB,ST500LM012 HN-M500MBB,500GB,,https://hdd.userbenchmark.com/SpeedTest/2104/ST500LM012-HN-M500MBB
HDD,WD,WD10EVDS-63N5B1 1TB,43.0,1TB,WD10EVDS-63N5B1,1TB,,https://hdd.userbenchmark.com/SpeedTest/4828/WDC-WD10EVDS-63N5B1
HDD,WD,"Blue 2.5"" 500GB",42.9,500GB,"Blue 2.5""",500GB,,https://hdd.userbenchmark.com/SpeedTest/1040/WDC-WD5000LPVX-22V0TT0
HDD,Toshiba,MQ01ABD075 750GB,42.9,750GB,MQ01ABD075,750GB,,https://hdd.userbenchmark.com/SpeedTest/869/TOSHIBA-MQ01ABD075
HDD,Hitachi,HTS725050A9A364 500GB,42.9,500GB,HTS725050A9A364,500GB,,https://hdd.userbenchmark.com/SpeedTest/1690/Hitachi-HTS725050A9A364
HDD,Samsung,HD250HJ 250GB,42.8,250GB,HD250HJ,250GB,,https://hdd.userbenchmark.com/SpeedTest/2247/SAMSUNG-HD250HJ
HDD,WD,Green 1.5TB (2009),42.8,5TB,Green 1.,5TB,2009.0,https://hdd.userbenchmark.com/SpeedTest/2529/WDC-WD15EADS-22P8B0
HDD,WD,"Blue 2.5"" 750GB (2013)",42.8,750GB,"Blue 2.5""",750GB,2013.0,https://hdd.userbenchmark.com/SpeedTest/7349/WDC-WD7500LPCX-80HWST0
HDD,Samsung,HD502IJ 500GB,42.7,500GB,HD502IJ,500GB,,https://hdd.userbenchmark.com/SpeedTest/111/SAMSUNG-HD502IJ
HDD,Seagate,ST750LM000-1EJ16G 750GB,42.7,750GB,ST750LM000-1EJ16G,750GB,,https://hdd.userbenchmark.com/SpeedTest/10621/ST750LM000-1EJ16G
HDD,Seagate,ST320LT009-9WC142 320GB,42.7,320GB,ST320LT009-9WC142,320GB,,https://hdd.userbenchmark.com/SpeedTest/4704/ST320LT009-9WC142
HDD,Hitachi,HTS725032A7E630 320GB,42.5,320GB,HTS725032A7E630,320GB,,https://hdd.userbenchmark.com/SpeedTest/5008/HGST-HTS725032A7E630
HDD,HGST,"Travelstar 5K1000 2.5"" 1TB",42.5,1TB,"Travelstar 5K1000 2.5""",1TB,,https://hdd.userbenchmark.com/SpeedTest/72/HGST-HTS541010A9E680
HDD,WD,WD75 00AARS-00Y5B 750GB,42.5,750GB,WD75 00AARS-00Y5B,750GB,,https://hdd.userbenchmark.com/SpeedTest/1693/WDC-WD75-00AARS-00Y5B
HDD,Hitachi,HDT721032SLA380 320GB,42.4,320GB,HDT721032SLA380,320GB,,https://hdd.userbenchmark.com/SpeedTest/4609/Hitachi-HDT721032SLA380
HDD,WD,WD10JPCX-24UE4T0 1TB,42.3,1TB,WD10JPCX-24UE4T0,1TB,,https://hdd.userbenchmark.com/SpeedTest/11224/WDC-WD10JPCX-24UE4T0
HDD,Seagate,"Momentus 2.5"" 500GB",42.3,500GB,"Momentus 2.5""",500GB,,https://hdd.userbenchmark.com/SpeedTest/785/ST9500420AS
HDD,Samsung,HD252HJ 250GB,42.2,250GB,HD252HJ,250GB,,https://hdd.userbenchmark.com/SpeedTest/2959/SAMSUNG-HD252HJ
HDD,WD,Blue SSHD 1TB (2015),42.2,1TB,Blue SSHD,1TB,2015.0,https://hdd.userbenchmark.com/SpeedTest/31760/WDC-WD10J31X-00U3VT0
HDD,Toshiba,MK5061GSY 500GB,42.2,500GB,MK5061GSY,500GB,,https://hdd.userbenchmark.com/SpeedTest/2829/TOSHIBA-MK5061GSY
HDD,Seagate,ST3250410AS 250GB,42.1,250GB,ST3250410AS,250GB,,https://hdd.userbenchmark.com/SpeedTest/456/ST3250410AS
HDD,Seagate,"Momentus 2.5"" 1TB",42.0,1TB,"Momentus 2.5""",1TB,,https://hdd.userbenchmark.com/SpeedTest/130/ST1000LM024-HN-M101MBB
HDD,Toshiba,MK5061GSYN 500GB,42.0,500GB,MK5061GSYN,500GB,,https://hdd.userbenchmark.com/SpeedTest/2032/TOSHIBA-MK5061GSYN
HDD,Seagate,ST3250310AS 250GB,42.0,250GB,ST3250310AS,250GB,,https://hdd.userbenchmark.com/SpeedTest/205/ST3250310AS
HDD,WD,Green 1TB (2009),41.9,1TB,Green,1TB,2009.0,https://hdd.userbenchmark.com/SpeedTest/362/WDC-WD10EADS-00L5B1
HDD,Samsung,HN-M101MBB 1TB,41.9,1TB,HN-M101MBB,1TB,,https://hdd.userbenchmark.com/SpeedTest/2830/SAMSUNG-HN-M101MBB
HDD,Seagate,ST500LX012-SSHD-8GB 500GB,41.9,8GB,ST500LX012-SSHD,8GB,,https://hdd.userbenchmark.com/SpeedTest/12260/ST500LX012-SSHD-8GB
HDD,Seagate,"Momentus Thin 5400.9 2.5"" 500GB",41.8,500GB,"Momentus Thin 5400.9 2.5""",500GB,,https://hdd.userbenchmark.com/SpeedTest/1080/ST500LT012-9WS142
HDD,WD,Blue 750GB (2008),41.8,750GB,Blue,750GB,2008.0,https://hdd.userbenchmark.com/SpeedTest/2292/WDC-WD7500AAKS-00RBA0
HDD,HGST,"Travelstar 5K1000 2.5"" 750GB",41.8,750GB,"Travelstar 5K1000 2.5""",750GB,,https://hdd.userbenchmark.com/SpeedTest/4988/HGST-HTS541075A9E680
HDD,Toshiba,MK2556GSY 250GB,41.6,250GB,MK2556GSY,250GB,,https://hdd.userbenchmark.com/SpeedTest/4588/TOSHIBA-MK2556GSY
HDD,Toshiba,MK5056GSY 500GB,41.6,500GB,MK5056GSY,500GB,,https://hdd.userbenchmark.com/SpeedTest/2645/TOSHIBA-MK5056GSY
HDD,HGST,"Travelstar 7K750 2.5"" 500GB",41.6,500GB,"Travelstar 7K750 2.5""",500GB,,https://hdd.userbenchmark.com/SpeedTest/789/Hitachi-HTS727550A9E364
HDD,Seagate,"FireCuda 2.5"" 500GB",41.6,500GB,"FireCuda 2.5""",500GB,,https://hdd.userbenchmark.com/SpeedTest/208729/ST500LX025-1U717D
HDD,Maxtor,STM3250310AS 250GB,41.6,250GB,STM3250310AS,250GB,,https://hdd.userbenchmark.com/SpeedTest/1239/MAXTOR-STM3250310AS
